Kundennummer;AccountErstellung;Alter;Geschlecht;PLZ;MonatlicherUmsatz;Rabatt;Aktivitätsindex;ErsterFilm;ZweiterFilm;DritterFilm;Vierter Film;FuenfterFilm;SechsterFilm;SiebterFilm;AchterFilm
45102378;01.01.2023;18;männlich;70173;15;0;0,240708482;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;Schlümpfe;Asterix
45102379;02.01.2023;19;männlich;70174;15;0;0,894000026;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;Schlümpfe;Asterix
45102380;03.01.2023;20;männlich;70173;15;0;0,684730213;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102381;04.01.2023;25;männlich;70174;15;0;0,501056344;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102382;05.01.2023;21;männlich;70176;10;0;0,010491039;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102383;06.01.2023;26;männlich;70176;10;0;0,291135001;Känguru-Chroniken;;;;;;;
45102384;07.01.2023;20;weiblich;70174;10;0;0,270289435;Star Trek;Känguru-Chroniken;;;;;;
45102385;08.01.2023;22;weiblich;70176;15;0;0,237492917;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;;;;
45102386;09.01.2023;24;weiblich;70176;10;0;0,030439957;The Batman;Känguru-Chroniken;;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris
45102387;10.01.2023;18;weiblich;70173;10;0;0,51815581;The Batman;Känguru-Chroniken;;;;;;
45102388;11.01.2023;19;weiblich;70174;10;0;0,662068559;Känguru-Chroniken;;;;;;;
45102389;12.01.2023;20;weiblich;70173;15;0;0,912127124;The Batman;Känguru-Chroniken;;;;;;
45102390;13.01.2023;25;männlich;70176;15;0;0,682504582;The Batman;Känguru-Chroniken;;;;;;
45102391;14.01.2023;21;männlich;70176;15;0;0,315117318;The Batman;Känguru-Chroniken;james bond casino royale;;Star Wars II;;;
45102392;15.01.2023;26;männlich;70174;5;0;0,955660777;The Batman;Känguru-Chroniken;james bond casino royale;;Star Wars II;mandalorian ;fluch der karibik ;
45102393;16.01.2023;20;männlich;70176;5;0;0,514622272;Känguru-Chroniken;Star Trek;james bond casino royale;;Star Wars II;mandalorian ;fluch der karibik ;
45102394;17.01.2023;22;männlich;70176;5;0;0,483610523;Känguru-Chroniken;Star Trek;james bond casino royale;;Star Wars II;mandalorian ;;
45102395;18.01.2023;24;männlich;70173;5;0;0,952797461;Känguru-Chroniken;;;;;;;
45102396;19.01.2023;21;weiblich;70174;10;0;0,322863351;Känguru-Chroniken;;;;;;;
45102397;20.01.2023;18;männlich;70173;15;0;0,100712278;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102398;21.01.2023;19;männlich;70174;15;0;0,525219617;The Batman;Känguru-Chroniken;james bond casino royale;;Star Wars II;;;
45102399;22.01.2023;20;männlich;70173;15;0;0,164197632;Star Trek;Känguru-Chroniken;james bond casino royale;;Star Wars II;;;
45102400;23.01.2023;25;männlich;70174;15;0;0,901764241;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102401;24.01.2023;21;männlich;70176;10;0;0,241295106;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102402;25.01.2023;26;männlich;70176;10;0;0,369903774;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102403;26.01.2023;20;weiblich;70174;10;0;0,045345532;Keinohrhasen ;Känguru-Chroniken;;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris
